"time","m.c_pot.gate_act.n","m.c_sod.gate_act.n","m.c_sod.gate_inact.n","m.l.v","m.c_pot.g","m.c_sod.g","c.v"
0.008312770923641214,0.4918195182196546,0.1299582923861342,0.3201970495343027,-9.359493887921285,2.106325768719293,0.0843355264831754,-9.359493887921285
0.00832277425808603,0.491765420369489,0.1304710003717908,0.3201334160408905,-9.402543304452914,2.105399177622985,0.08532066501655511,-9.402543304452914
0.008332777592530843,0.4917128028838034,0.1309865227820259,0.3200678572522305,-9.445760582446699,2.104498235605274,0.08631835365669746,-9.445760582446699
0.008342780926975659,0.4916616711233528,0.1315049145209226,0.3200003630086956,-9.48915090135489,2.103623009939963,0.08732883508772776,-9.48915090135489
0.008352784261420474,0.4916120279939421,0.1320262038678968,0.319930927145431,-9.53271666946541,2.102773526484293,0.08835230402142721,-9.53271666946541
0.008362787595865288,0.4915638776101106,0.1325504316533349,0.3198595415430164,-9.576461584258917,2.101949832412644,0.08938898286183054,-9.576461584258917
0.008372790930310103,0.4915172241999411,0.1330776395424729,0.3197861979060205,-9.620389417895439,2.101151977463948,0.09043909930886276,-9.620389417895439
0.008382794264754918,0.4914720721066391,0.133607870048209,0.3197108877605208,-9.664504018391087,2.100380013971771,0.09150288650100269,-9.664504018391087
0.008392797599199732,0.491428425790111,0.1341411665439162,0.3196336024516251,-9.708809310794839,2.099633996894659,0.09258058316156063,-9.708809310794839
0.008402800933644547,0.4913862898285439,0.1346775732762567,0.319554333140991,-9.753309298365318,2.09891398384676,0.0936724337486647,-9.753309298365318
0.008412804268089363,0.4913456689199839,0.1352171353779938,0.3194730708043467,-9.798008063747522,2.098220035128701,0.0947786886090471,-9.798008063747522
0.008422807602534178,0.4913065678839148,0.1357598988808059,0.3193898062290113,-9.842909770149621,2.097552213758746,0.09589960413573853,-9.842909770149621
0.008432810936978993,0.4912689916628374,0.1363059107280987,0.3193045300114155,-9.888018662519698,2.096910585504259,0.09703544292976368,-9.888018662519698
0.008442814271423809,0.4912329453238482,0.1368552187878192,0.3192172325546219,-9.933339068722518,2.096295218913435,0.09818647396595279,-9.933339068722518
0.008452817605868622,0.4911984353153403,0.1374078816642005,0.3191279019975082,-9.978876365188283,2.09570620676735,0.09935299337444109,-9.978876365188283
0.008462820940313438,0.4911654679715848,0.1379639570232848,0.3190365266792158,-10.02463582775342,2.095143640548034,0.100535300634571,-10.02463582775342
0.008472824274758253,0.4911340476513495,0.1385234870613152,0.3189430982066735,-10.07062120128476,2.094607578696235,0.1017336675482687,-10.07062120128476
0.008482827609203067,0.4911041801337354,0.1390865250170464,0.3188476058586637,-10.11683730910206,2.094098104572106,0.1029483941198914,-10.11683730910206
0.008492830943647882,0.4910758713480696,0.139653125256306,0.3187500386789755,-10.16328907695423,2.093615304781318,0.1041797880336489,-10.16328907695423
0.008502834278092697,0.4910491273761631,0.1402233432901135,0.3186503854728053,-10.20998153471847,2.093159269220401,0.1054281648722406,-10.20998153471847
0.008512837612537513,0.4910239544545707,0.1407972357928019,0.3185486348031569,-10.25691981809945,2.092730091122496,0.1066938483413811,-10.25691981809945
0.008522840946982326,0.4910003589768486,0.1413748606201378,0.3184447749872417,-10.30410917032844,2.092327867103463,0.1079771705003679,-10.30410917032844
0.008532844281427142,0.4909783474958137,0.1419562768274422,0.3183387940928791,-10.35155494386246,2.091952697208444,0.10927847199887,-10.35155494386246
0.008542847615871957,0.4909579267258022,0.1425415446877106,0.3182306799348958,-10.39926260208344,2.091604684958814,0.1105981023201057,-10.39926260208344
0.008552850950316772,0.4909391035449281,0.1431307257097339,0.3181204200715274,-10.44723772099739,2.091283937399577,0.1119364200305999,-10.44723772099739
0.008562854284761588,0.4909218849973421,0.1437238826562188,0.318008001800817,-10.49548599093348,2.090990565147213,0.1132937930367,-10.49548599093348
0.008572857619206401,0.4909062818402007,0.1443211101454382,0.3178934062583708,-10.54401630243612,2.090724742824358,0.1146706696209154,-10.54401630243612
0.008582860953651216,0.4908922997191419,0.1449224585124481,0.3177766231021404,-10.59283306792918,2.090486558725788,0.1160674038721475,-10.59283306792918
0.008592864288096032,0.4908799460751664,0.1455279933998367,0.3176576390190502,-10.64194223101056,2.090276132513339,0.1174843918709631,-10.64194223101056
0.008602867622540847,0.4908692289178261,0.1461377851715084,0.3175364397666549,-10.69135019875817,2.090093594320416,0.1189220481220559,-10.69135019875817
0.008612870956985661,0.4908601564588129,0.1467519057499465,0.3174130107830331,-10.7410635226558,2.089939078521474,0.1203807985684014,-10.7410635226558
0.008622874291430476,0.4908527371151718,0.1473704286425639,0.3172873371815988,-10.79108890112222,2.089812723799435,0.1218610809375794,-10.79108890112222
0.008632877625875291,0.4908469795125125,0.1479934289680506,0.3171594037459161,-10.84143318204001,2.089714673213727,0.1233633450980607,-10.84143318204001
0.008642880960320107,0.4908428924882224,0.1486209834827239,0.317029194924511,-10.89210336528461,2.089645074268923,0.1248880534257708,-10.89210336528461
0.008652884294764922,0.4908404850946786,0.1492531706068768,0.3168966948256853,-10.94310660525326,2.089604078984054,0.1264356811812382,-10.94310660525326
0.008662887629209737,0.4908397666024604,0.1498900704511276,0.3167618872123296,-10.99445021339395,2.089591843962542,0.1280067168976567,-10.99445021339395
0.008672890963654551,0.49084074853006,0.150531782918057,0.3166247521152659,-11.04614349889798,2.08960856497172,0.1296017080823308,-11.04614349889798
0.008682894298099366,0.4908434419776342,0.1511784039183896,0.3164852702823954,-11.09819534985767,2.089654431558505,0.131221203289968,-11.09819534985767
0.008692897632544182,0.4908478554185747,0.1518300056706559,0.3163434268639195,-11.15061222969298,2.089729589460348,0.1328657017632908,-11.15061222969298
0.008702900966988995,0.4908539993741972,0.1524866783946464,0.3161992036121983,-11.20340241701016,2.089834220227571,0.1345357582517682,-11.20340241701016
0.008712904301433811,0.4908618846328566,0.1531485144245621,0.3160525818535558,-11.25657438984049,2.08996851091679,0.1362319439298078,-11.25657438984049
0.008722907635878626,0.4908715222544884,0.1538156082472068,0.3159035424808779,-11.31013682937363,2.09013265418872,0.1379548469269554,-11.31013682937363
0.00873291097032344,0.4908829235751481,0.1544880565401801,0.3157520659462096,-11.36409862369102,2.090326848406895,0.1397050728744106,-11.36409862369102
0.008742914304768255,0.4908961002115513,0.1551659582100707,0.3155981322533525,-11.41846887149938,2.090551297737319,0.1414832454683921,-11.41846887149938
0.00875291763921307,0.4909110640656147,0.1558494144306483,0.3154417209504623,-11.473256885864,2.09080621224913,0.1432900070509095,-11.473256885864
0.008762920973657886,0.4909278277649948,0.1565385328010278,0.3152828103884455,-11.52847263025685,2.091091815444747,0.145126030329375,-11.52847263025685
0.008772924308102701,0.4909464075662097,0.1572334547739951,0.3151213728324913,-11.58412959637729,2.091408393758071,0.14699209399295,-11.58412959637729
0.008782927642547516,0.4909668139705418,0.1579342669763078,0.314957390264664,-11.64023549858541,2.091756136693962,0.1488888434629575,-11.64023549858541
0.00879293097699233,0.4909890604487486,0.1586410836481042,0.3147908396921706,-11.69680092411733,2.092135285499032,0.1508170131174266,-11.69680092411733
0.008802934311437145,0.4910131608192221,0.1593540218631229,0.3146216975626509,-11.75383673263183,2.0925460885255,0.1527773605755897,-11.75383673263183
0.008812937645881961,0.491039129254273,0.1600732015833687,0.3144499397538398,-11.81135406167235,2.09298880136945,0.1547706674966992,-11.81135406167235
0.008822940980326774,0.4910669802864133,0.1607987457137792,0.3142755415632292,-11.86936433212894,2.093463687010447,0.1567977404050701,-11.86936433212894
0.00883294431477159,0.491096728814641,0.1615307801568916,0.314098477697729,-11.92787925370038,2.093971015952606,0.1588594115422755,-11.92787925370038
0.008842947649216405,0.4911283901107226,0.1622694338675089,0.3139187222633298,-11.98691083035609,2.094511066367105,0.1609565397474607,-11.98691083035609
0.00885295098366122,0.4911619826952656,0.1630148660975317,0.3137362438753254,-12.04647426954939,2.095084173201335,0.1630900904384242,-12.04647426954939
0.008862954318106036,0.4911975227223062,0.1637672131871695,0.3135510152064219,-12.10658229945289,2.095690632437967,0.1652609836967397,-12.10658229945289
0.008872957652550851,0.4912350260372509,0.1645266080582966,0.3133630094880097,-12.16724725035928,2.096330736215867,0.1674701495592321,-12.16724725035928
0.008882960986995666,0.4912745099645924,0.1652931971475187,0.3131721974708946,-12.22848286265808,2.09700480338106,0.169718578536602,-12.22848286265808
0.00889296432144048,0.4913159922876739,0.1660671307349596,0.3129785491603282,-12.2903032536304,2.097713162128398,0.1720072946845709,-12.2903032536304
