"time","VV","h","m","n","gK","gNa","v"
5.46,1.102608285933393,0.2684278256069288,0.04269664197040552,0.566362519351842,3.704081387628658,0.002507205539377314,1.102608285933393
5.47,1.068182862584768,0.2688534673112788,0.04286405022866125,0.5658821396969753,3.691530396249445,0.002540835235069171,1.068182862584768
5.48,1.033725810353558,0.2692773041964087,0.04303223361132517,0.5654034208695433,3.679054555491147,0.002574913615789994,1.033725810353558
5.49,0.9992375010952519,0.2696993374510845,0.04320119337849737,0.5649263617429389,3.666653452805815,0.002609446258879021,0.9992375010952519
5.5,0.9647182963089465,0.270119568264558,0.04337093149590084,0.5644509611971132,3.654326678410067,0.00264443893183295,0.9647182963089465
5.51,0.9301685575081813,0.2705379978255181,0.04354144991973766,0.5639772181087683,3.642073825014593,0.002679897466884232,0.9301685575081813
5.52,0.8955886461872593,0.2709546273220732,0.04371275059651197,0.5635051313513141,3.629894487809214,0.002715827761541318,0.8955886461872593
5.53,0.860978923787566,0.2713694579417344,0.04388483546285265,0.563034699794821,3.617788264447902,0.002752235779129683,0.860978923787566
5.54,0.8263397516639033,0.2717824908713971,0.04405770644533619,0.562565922305978,3.605754755034031,0.002789127549333525,0.8263397516639033
5.55,0.7916714910507938,0.2721937272973238,0.04423136546030956,0.5620987977480454,3.593793562105576,0.002826509168738105,0.7916714910507938
5.56,0.7569745030288155,0.2726031684051269,0.04440581441371297,0.5616333249808106,3.581904290620481,0.002864386801372587,0.7569745030288155
5.57,0.722249148490917,0.2730108153797513,0.04458105520090267,0.5611695028605441,3.570086547942109,0.002902766679253306,0.722249148490917
5.58,0.6874957825942054,0.2734166694037505,0.04475708990095052,0.5607073302468095,3.558339943998777,0.00294165514125491,0.6874957825942054
5.59,0.6527147622639603,0.2738207316596018,0.04493392051064095,0.5602468059930475,3.546664091029915,0.002981058582574925,0.6527147622639603
5.6,0.617906451387601,0.2742230033313034,0.04511154875993543,0.5597879289400332,3.535058603408415,0.003020983417622806,0.617906451387601
5.61,0.5830712088101369,0.2746234856006566,0.04528997653396137,0.5593306979307118,3.523523098004186,0.003061436163741647,0.5830712088101369
5.62,0.5482093929264048,0.275022179648678,0.0454692057096972,0.5588751118044042,3.512057194023636,0.00310242340993762,0.5482093929264048
5.63,0.5133213616434074,0.2754190866555811,0.04564923815593505,0.5584211693967669,3.500660512995714,0.003143951817490598,0.5133213616434074
5.64,0.478407472342686,0.2758142078007573,0.04583007573324333,0.557968869539751,3.489332678757981,0.00318602812056707,0.478407472342686
5.65,0.4434680818426732,0.2762075442627576,0.04601172029392928,0.5575182110615633,3.478073317442821,0.003228659126835318,0.4434680818426732
5.66,0.4085035463610643,0.2765990972192733,0.0461941736820015,0.5570691927866258,3.466882057463703,0.003271851718082825,0.4085035463610643
5.67,0.3735142214771577,0.2769888678471177,0.04637743773313265,0.5566218135355367,3.455758529501537,0.003315612850835907,0.3735142214771577
5.68,0.3385004620942263,0.2773768573222073,0.04656151427462196,0.5561760721250292,3.444702366491065,0.003359949556981459,0.3385004620942263
5.69,0.3034626175507218,0.2777630668102985,0.0467464049674085,0.5557319673781648,3.433713203860289,0.003404868909763816,0.3034626175507218
5.7,0.2684010432826544,0.2781474974892645,0.04693211168697616,0.5552894980996141,3.42279067890552,0.003450378107084842,0.2684010432826544
5.71,0.2333160921577112,0.2785301505326348,0.04711863624238856,0.5548486630938174,3.411934431229994,0.003496484411666517,0.2333160921577112
5.72,0.1982081155295767,0.2789110271116574,0.04730598041180465,0.5544094611626398,3.401144102672937,0.003543195159102409,0.1982081155295767
5.73,0.1630774638426093,0.2792901283965033,0.04749414596335477,0.5539718911039778,3.39041933726281,0.003590517763013657,0.1630774638426093
5.74,0.1279244865923438,0.2796674555562452,0.0476831346550423,0.5535359517117232,3.37975978120425,0.003638459715650118,0.1279244865923438
5.75,0.09274953228596278,0.2800430097588348,0.04787294823464554,0.5531016417757263,3.369165082865086,0.003687028588492137,0.09274953228596278
5.76,0.05755294840279958,0.28041679217108,0.04806358843961932,0.5526689600817607,3.358634892763456,0.00373623203285277,0.05755294840279958
5.77,0.02233508135482562,0.2807888039586233,0.0482550569969968,0.5522379054114868,3.348168863554961,0.003786077780480469,0.02233508135482562
5.78,-0.01290372355286271,0.2811590462859195,0.04844735562329118,0.551808476542416,3.337766650019918,0.003836573644162085,-0.01290372355286271
5.79,-0.04816312344379539,0.2815275203142987,0.04864048601073259,0.5513806722526073,3.327427909164907,0.003887727515023058,-0.04816312344379539
5.8,-0.08344277982114476,0.2818942271990907,0.04883444980679948,0.5509544913276856,3.317152300378733,0.003939547358007041,-0.08344277982114476
5.81,-0.118742347834584,0.2822591681056848,0.04902924872892275,0.5505299325210473,3.306939484461324,0.003992041240359321,-0.118742347834584
5.82,-0.1540614874982192,0.2826223441928196,0.04922488444526073,0.5501069945950811,3.296789124608052,0.004045217303539387,-0.1540614874982192
5.83,-0.1893998601799581,0.2829837566178606,0.04942135861243402,0.5496856763080283,3.286700886080247,0.00409908377287756,-0.1893998601799581
5.84,-0.2247571286431408,0.2833434065367746,0.04961867287540501,0.5492659764139559,3.276674436193022,0.004153648958165264,-0.2247571286431408
5.85,-0.2601329570881392,0.2837012951041046,0.04981682886735707,0.5488478936627271,3.266709444303133,0.004208921254244379,-0.2601329570881392
5.86,-0.2955270111939748,0.2840574234729441,0.05001582820957397,0.5484314267999739,3.256805581796933,0.004264909141595782,-0.2955270111939748
5.87,-0.330938958159919,0.2844117927949117,0.05021567251131905,0.548016574567069,3.246962522078377,0.004321621186926762,-0.330938958159919
5.88,-0.3663684667471226,0.2847644042201257,0.05041636336971476,0.5476033357010968,3.237179940557087,0.004379066043757414,-0.3663684667471226
5.89,-0.4018152073202163,0.2851152588971789,0.05061790236962187,0.5471917089348257,3.227457514636499,0.004437252453005694,-0.4018152073202163
5.9,-0.4372788577391818,0.2854643579676577,0.05082029125469562,0.5467816930150853,3.21779492413532,0.004496189288918425,-0.4372788577391818
5.91,-0.4727590929875548,0.2858117025758269,0.05102353162257188,0.5463732866699765,3.208191850501487,0.004555885480284304,-0.4727590929875548
5.92,-0.5082555859734098,0.286157293867896,0.05122762494696516,0.5459664886112319,3.198647976860267,0.004616350015398268,-0.5082555859734098
5.93,-0.5437680147309,0.2865011329853179,0.05143257278704567,0.5455612975567142,3.189162988532544,0.004677591998313649,-0.5437680147309
5.94,-0.5792960591875698,0.2868432210678157,0.05163837669151342,0.5451577122200861,3.179736572780143,0.00473962062430624,-0.5792960591875698
5.95,-0.6148394012093863,0.2871835592533554,0.05184503819857787,0.5447557313107928,3.170368418794558,0.004802445180512916,-0.6148394012093863
5.96,-0.6503977246457989,0.287522148678116,0.05205255883593778,0.5443553535340453,3.161058217685747,0.004866075046570531,-0.6503977246457989
5.97,-0.6859707153747694,0.287858990476462,0.05226094012076078,0.5439565775908021,3.15180566247094,0.004930519695254936,-0.6859707153747694
5.98,-0.7215580613478197,0.2881940857809134,0.0524701835596631,0.543559402177752,3.142610448063545,0.004995788693120182,-0.7215580613478197
5.99,-0.7571594526350619,0.2885274357221185,0.05268029064868924,0.5431638259872973,3.133472271262116,0.005061891701137708,-0.7571594526350619
6,-0.7927745814702585,0.2888590414288244,0.0528912628732917,0.5427698477075347,3.124390830739332,0.005128838475335531,-0.7927745814702585
6.01,-0.828403151086177,0.2891889040142612,0.05310310206283957,0.5423774660596258,3.11536582789008,0.005196638971275118,-0.828403151086177
6.02,-0.8640448532627767,0.2895170246108872,0.05331580948326121,0.5419866797020976,3.106396964617701,0.005265303081263232,-0.8640448532627767
6.03,-0.8996993873909747,0.2898434043409628,0.05352938660408176,0.5415974873117132,3.097483945188121,0.005334840856387557,-0.8996993873909747
6.04,-0.9353664555639093,0.2901680443241789,0.05374383489860882,0.5412098875623865,3.088626475732564,0.005405262449894322,-0.9353664555639093
6.05,-0.9710457623357182,0.2904909456780704,0.05395915583236597,0.5408238791239455,3.079824264208719,0.005476578114521607,-0.9710457623357182
6.06,-1.006737014769545,0.2908121095179838,0.05417535086319242,0.5404394606621291,3.071077020390363,0.00554879820322108,-1.006737014769545
6.07,-1.042439922485564,0.2911315369570434,0.05439242144134291,0.5400566308385814,3.062384455856967,0.005621933169882271,-1.042439922485564
6.08,-1.078154197708988,0.2914492291061179,0.05461036900958733,0.5396753883108474,3.053746283983419,0.005695993570059311,-1.078154197708988
6.09,-1.113879555318106,0.2917651870737876,0.05482919500331066,0.5392957317323682,3.045162219929748,0.00577099006170025,-1.113879555318106
6.1,-1.149615712892293,0.2920794119663113,0.05504890085061266,0.5389176597524755,3.036631980630918,0.005846933405878795,-1.149615712892293
6.11,-1.185362391655836,0.2923919048813927,0.05526948802111357,0.5385411710282889,3.028155285054383,0.005923834483063973,-1.185362391655836
6.12,-1.221119316411379,0.2927026669089408,0.05549095801982439,0.5381662642231885,3.019731854153011,0.006001704292556949,-1.221119316411379
6.13,-1.256886211843683,0.2930116991569492,0.05571331218366756,0.5377929379570663,3.011361409738513,0.006080553887743719,-1.256886211843683
6.14,-1.29266280705541,0.2933190027204047,0.05593655192558079,0.5374211908659429,3.003043675813254,0.006160394454453291,-1.29266280705541
6.15,-1.328448834114024,0.2936245786916428,0.05616067865299949,0.5370510215820199,2.994778378110788,0.006241237285925143,-1.328448834114024
6.16,-1.364244028100797,0.293928428160307,0.05638569376801079,0.5366824287336884,2.986565244086191,0.006323093783596278,-1.364244028100797
6.17,-1.400048127159851,0.2942305522133097,0.05661159866750799,0.5363154109455374,2.978404002906462,0.006405975457892379,-1.400048127159851
6.18,-1.435860872547164,0.2945309519347909,0.05683839474334459,0.5359499668383623,2.97029438544097,0.006489893929022729,-1.435860872547164
6.19,-1.471682008679597,0.2948296284060789,0.05706608338248857,0.535586095029174,2.962236124251958,0.006574860927779233,-1.471682008679597
6.2,-1.507511283183901,0.2951265827056497,0.05729466596717646,0.5352237941312062,2.954228953585061,0.006660888296339347,-1.507511283183901
6.21,-1.543348446945757,0.295421815909087,0.0575241438750677,0.5348630627539255,2.94627260935993,0.006747987989073113,-1.543348446945757
6.22,-1.579193255450032,0.2957153290592408,0.05775451858168446,0.5345038995491678,2.938366830175211,0.006836172108986728,-1.579193255450032
6.23,-1.615045466151404,0.2960071232280032,0.05798579144839715,0.5341463031154626,2.930511355189231,0.006925452835560189,-1.615045466151404
6.24,-1.650904839682486,0.2962971994895162,0.05821796381439804,0.5337902720394506,2.922705925028626,0.007015842456425391,-1.650904839682486
6.25,-1.686771140611936,0.2965855589037668,0.05845103705302387,0.5334358049212236,2.914950282334603,0.007107353387998542,-1.686771140611936
6.26,-1.722644137027665,0.2968722025272975,0.05868501253501199,0.5330829003576913,2.90724417138698,0.0071999981635903,-1.722644137027665
6.27,-1.758523600586498,0.2971571314131511,0.05891989162870492,0.5327315569426149,2.899587338095492,0.007293789434278664,-1.758523600586498
6.28,-1.794409306563831,0.2974403466108162,0.05915567570025494,0.5323817732666354,2.891979529991073,0.007388739969787564,-1.794409306563831
6.29,-1.830301033903273,0.2977218491661718,0.05939236611382849,0.5320335479173077,2.884420496217245,0.007484862659371204,-1.830301033903273
6.3,-1.866198565266326,0.298001640121433,0.05962996423181099,0.5316868794791297,2.876909987521485,0.007582170512704389,-1.866198565266326
6.31,-1.902101687082025,0.298279720515096,0.05986847141501123,0.5313417665335742,2.869447756246684,0.007680676660778665,-1.902101687082025
6.32,-1.938010189596599,0.2985560913818835,0.06010788902286596,0.5309982076591206,2.862033556322638,0.00778039435680452,-1.938010189596599
6.33,-1.973923866923119,0.2988307537526893,0.06034821841364443,0.5306562014312856,2.854667143257567,0.007881336977119622,-1.973923866923119
6.34,-2.009842517091167,0.2991037086545238,0.06058946094465298,0.5303157464226544,2.847348274129695,0.007983518022103255,-2.009842517091167
6.35,-2.045765942096487,0.2993749571104595,0.06083161797243962,0.5299768412029124,2.840076707578849,0.008086951117096954,-2.045765942096487
6.36,-2.081693947950641,0.2996445001395756,0.06107469085299857,0.5296394843388759,2.832852203798133,0.008191650013331418,-2.081693947950641
6.37,-2.117626344730654,0.2999123387569032,0.06131868094197475,0.5293036743945233,2.825674524525611,0.008297628588859796,-2.117626344730654
6.38,-2.153562946628691,0.3001784739733712,0.06156358959486847,0.5289694099310271,2.818543433036067,0.008404900849497505,-2.153562946628691
6.39,-2.189503572001699,0.3004429067957504,0.06180941816723988,0.5286366895067847,2.811458694132777,0.00851348092976845,-2.189503572001699
6.4,-2.225448043421069,0.3007056382265997,0.06205616801491361,0.5283055116774481,2.804420074139313,0.008623383093857979,-2.225448043421069
6.41,-2.261396187722282,0.3009666692642102,0.06230384049418322,0.5279758749959587,2.797427340891469,0.008734621736572402,-2.261396187722282
6.42,-2.297347836054578,0.3012260009025515,0.06255243696201593,0.5276477780125749,2.790480263729113,0.00884721138430546,-2.297347836054578
6.43,-2.333302833313325,0.3014836340940435,0.06280195924665892,0.527321219316557,2.783578614367632,0.008961166896270498,-2.333302833313325
6.44,-2.369261026425135,0.3017395697961105,0.06305240905802935,0.5269961974839726,2.776722165781111,0.009076503221009641,-2.369261026425135
6.45,-2.405222249399848,0.3019938090305448,0.06330378723601263,0.5266727110111508,2.769910690795915,0.009193235069481578,-2.405222249399848
6.46,-2.441186351887611,0.3022463527705107,0.06355609517988338,0.5263507584412628,2.763143964755076,0.009311377524215323,-2.441186351887611
6.47,-2.477153188152966,0.3024972019843685,0.06380933429323779,0.5260303383151871,2.756421764470293,0.00943094580605423,-2.477153188152966
6.48,-2.51312261712614,0.3027463576356136,0.06406350598427991,0.5257114491715477,2.749743868214205,0.009551955275263934,-2.51312261712614
6.49,-2.549094502454314,0.3029938206828152,0.06431861166610761,0.5253940895467525,2.743110055712708,0.009674421432650701,-2.549094502454314
6.5,-2.585068712552927,0.3032395920795553,0.06457465275699878,0.5250782579750315,2.736520108137294,0.009798359920690732,-2.585068712552927
6.51,-2.621045120656942,0.3034836727743665,0.06483163068069736,0.5247639529884761,2.729973808097476,0.009923786524670282,-2.621045120656942
6.52,-2.657023604872131,0.3037260637106718,0.06508954686669939,0.5244511731170769,2.723470939633194,0.01005071717383697,-2.657023604872131
6.53,-2.693004048226367,0.3039667658267228,0.0653484027505392,0.5241399168887615,2.717011288207288,0.0101791679425624,-2.693004048226367
6.54,-2.728986338720882,0.3042057800555384,0.06560819977407537,0.5238301828294346,2.710594640698039,0.01030915505151619,-2.728986338720882
6.55,-2.764970369381582,0.3044431073248436,0.06586893938577693,0.5235219694630152,2.704220785391698,0.01044069486885165,-2.764970369381582
6.56,-2.800956038310305,0.3046787485570084,0.06613062304100938,0.5232152753114752,2.697889511975085,0.01057380391140332,-2.800956038310305
6.57,-2.836943248736115,0.3049127046689862,0.06639325220232085,0.5229100988948784,2.691600611528231,0.01070849884589646,-2.836943248736115
6.58,-2.872931909066574,0.3051449765722526,0.06665682833972807,0.522606438731418,2.685353876517032,0.01084479649016863,-2.872931909066574
6.59,-2.908921932939035,0.3053755651727446,0.06692135293100253,0.522304293337456,2.679149100785982,0.0109827138144038,-2.908921932939035
6.6,-2.94491323927192,0.3056044713707985,0.06718682746195659,0.5220036612275613,2.672986079550918,0.01112226794237884,-2.94491323927192
6.61,-2.980905752316004,0.3058316960610895,0.06745325342672957,0.521704540914548,2.666864609391803,0.01126347615272287,-2.980905752316004
6.62,-3.016899401705687,0.3060572401325694,0.06772063232807371,0.5214069309095136,2.660784488245557,0.01140635588018932,-3.016899401705687
6.63,-3.052894122510291,0.3062811044684065,0.06798896567764041,0.5211108297218786,2.654745515398947,0.01155092471694136,-3.052894122510291
6.64,-3.088889862628568,0.3065032898227741,0.06825825565081307,0.5208162360187112,2.648747494721865,0.01169720074565348,-3.088889862628568
6.65,-3.124886604425796,0.3067237964587858,0.06852850701106585,0.5205231490930017,2.64279024414221,0.01184520353886475,-3.124886604425796
6.66,-3.160884266551808,0.3069426257958499,0.06879971835412993,0.5202315667328457,2.636873552329928,0.0119949497018325,-3.160884266551808
6.67,-3.196882807458866,0.3071597786744273,0.06907189133087797,0.5199414874658582,2.630997224374277,0.01214645753488132,-3.196882807458866
6.68,-3.232882191357236,0.3073752559277699,0.06934502760845609,0.5196529098196148,2.62516106670548,0.01229974550748412,-3.232882191357236
6.69,-3.268882388268222,0.3075890583818308,0.06961912887072504,0.5193658323217281,2.61936488708842,0.01245483225988135,-3.268882388268222
6.7,-3.30488337407717,0.3078011868551727,0.06989419681870127,0.5190802534999239,2.613608494616322,0.01261173660472228,-3.30488337407717
6.71,-3.340885130586516,0.3080116421588788,0.07017023317099839,0.5187961718821181,2.607891699704529,0.01277047752872892,-3.340885130586516
6.72,-3.376887645568794,0.3082204250964614,0.07044723966426827,0.5185135859964916,2.602214314084244,0.01293107419438268,-3.376887645568794
6.73,-3.41289091281966,0.3084275364637717,0.07072521805364225,0.5182324943715674,2.596576150796373,0.0130935459416343,-3.41289091281966
6.74,-3.448894932210908,0.3086329770489095,0.07100417011317237,0.5179528955362864,2.590977024185349,0.01325791228963731,-3.448894932210908
6.75,-3.484899709743511,0.3088367476321324,0.07128409763627257,0.5176747880200844,2.585416749893041,0.01342419293850553,-3.484899709743511
6.76,-3.520905257600628,0.3090388489857657,0.07156500243616003,0.5173981703529669,2.579895144852652,0.01359240777109497,-3.520905257600628
6.77,-3.556911594200633,0.309239281874112,0.07184688634629616,0.5171230410655863,2.57441202728268,0.01376257685481034,-3.556911594200633
6.78,-3.592918744250136,0.3094380470533598,0.07212975122082807,0.5168493986893181,2.568967216680921,0.01393472044343691,-3.592918744250136
6.79,-3.628926738796999,0.3096351452714946,0.07241359893502956,0.5165772417563367,2.563560533818478,0.01410885897899773,-3.628926738796999
6.8,-3.664935615283373,0.309830577268207,0.07269843138574247,0.5163065687996914,2.558191800733824,0.01428501309363691,-3.664935615283373
6.81,-3.700945417598711,0.310024343774803,0.07298425049181791,0.5160373783533836,2.552860840726918,0.01446320361152934,-3.700945417598711
6.82,-3.736956196132795,0.3102164455141135,0.07327105819455745,0.5157696689524418,2.547567478353311,0.01464345155081703,-3.736956196132795
6.83,-3.772968007828746,0.3104068832004036,0.07355885645815417,0.5155034391329989,2.54231153941834,0.01482577812557261,-3.772968007828746
6.84,-3.808980916236068,0.3105956575392821,0.07384764727013425,0.5152386874323671,2.537092850971305,0.01501020474779082,-3.808980916236068
6.85,-3.844994991563655,0.3107827692276115,0.07413743264179783,0.5149754123891155,2.531911241299734,0.01519675302940759,-3.844994991563655
6.86,-3.881010413378795,0.3109682178093285,0.07442822117169989,0.5147136136787616,2.526766562222933,0.01538544879778383,-3.881010413378795
6.87,-3.91702719641923,0.311152004732034,0.07472001051150999,0.514453289079803,2.521658629430183,0.01557631145355306,-3.91702719641923
6.88,-3.953045422654004,0.3113341307609516,0.07501280220070707,0.514194437040595,2.516587273008206,0.0157693629156764,-3.953045422654004
6.89,-3.989065191873793,0.3115145965301463,0.07530659850444631,0.5139370561322006,2.511552326638923,0.01596462573955002,-3.989065191873793
6.9,-4.025086610920733,0.3116934026630694,0.07560140172197996,0.5136811449287237,2.506553625238803,0.01616212269978858,-4.025086610920733
6.91,-4.061109793744354,0.3118705497724351,0.07589721418728576,0.5134267020074194,2.501591004953838,0.0163618767928179,-4.061109793744354
6.92,-4.097134861457564,0.3120460384600974,0.07619403826969591,0.5131737259488007,2.496664303154474,0.01656391123951043,-4.097134861457564
6.93,-4.133161942392578,0.3122198693169273,0.07649187637452541,0.5129222153367492,2.491773358430638,0.01676824948786361,-4.133161942392578
6.94,-4.169191172156894,0.3123920429226889,0.07679073094370104,0.5126721687586222,2.48691801058676,0.01697491521572234,-4.169191172156894
6.95,-4.205222693689217,0.3125625598459171,0.07709060445638971,0.5124235848053617,2.48209810063684,0.01718393233354578,-4.205222693689217
6.96,-4.241256657315446,0.3127314206437939,0.07739149942962741,0.5121764620716038,2.477313470799573,0.0173953249872197,-4.241256657315446
6.97,-4.277293220804611,0.3128986258620258,0.0776934184189477,0.5119307991557861,2.472563964493451,0.0176091175609147,-4.277293220804611
6.98,-4.313332549424831,0.3130641760347199,0.0779963640190104,0.5116865946602569,2.467849426331964,0.01782533467999102,-4.313332549424831
6.99,-4.349374815999257,0.3132280716842614,0.07830033886423028,0.5114438471913844,2.463169702118809,0.01804400121395115,-4.349374815999257
7,-4.38542020096205,0.3133903133211902,0.07860534562940574,0.5112025553596641,2.458524638843107,0.01826514227944042,-4.38542020096205
7.01,-4.421468892414318,0.313550901444078,0.07891138703034738,0.5109627177798292,2.453914084674718,0.01848878324329653,-4.421468892414318
7.02,-4.457521086180072,0.3137098365394045,0.07921846582450678,0.5107243330709568,2.449337888959509,0.01871494972564907,-4.457521086180072
7.03,-4.493576985862187,0.3138671190814354,0.07952658481160521,0.5104873998565789,2.444795902214741,0.01894366760306935,-4.493576985862187
7.04,-4.52963680289834,0.3140227495320978,0.07983574683426195,0.5102519167647895,2.440287976124426,0.01917496301177134,-4.52963680289834
7.05,-4.565700756616992,0.3141767283408587,0.08014595477862343,0.5100178824283542,2.435813963534763,0.01940886235086528,-4.565700756616992
7.06,-4.601769074293316,0.3143290559446004,0.08045721157499154,0.509785295484818,2.431373718449574,0.01964539228566344,-4.601769074293316
7.07,-4.63784215557587,0.3144797313778004,0.08076952654597588,0.5095541557734293,2.426967118827155,0.01988458435124411,-4.63784215557587
7.08,-4.673920218481004,0.3146287552658767,0.08108290173428488,0.5093244617572582,2.422594017373001,0.02012646515400881,-4.673920218481004
7.09,-4.710003431669155,0.314776128707187,0.08139733700932342,0.5090962114860261,2.418254260006208,0.02037105992017764,-4.710003431669155
7.1,-4.746092060074815,0.3149218520421276,0.08171283568947049,0.5088694036561676,2.413947706020432,0.02061839660706786,-4.746092060074815
7.11,-4.782186377130262,0.3150659255956012,0.08202940115088087,0.5086440369714158,2.409674215878738,0.02086850346892557,-4.782186377130262
7.12,-4.81828666482753,0.315208349676843,0.0823470368283455,0.5084201101429543,2.405433651209926,0.02112140906115276,-4.81828666482753
7.13,-4.854393213780372,0.3153491245792471,0.0826657462161525,0.5081976218895701,2.401225874804878,0.02137714224460986,-4.854393213780372
7.14,-4.890506323286214,0.3154882505801921,0.08298553286894744,0.5079765709378051,2.397050750612936,0.02163573218999409,-4.890506323286214
7.15,-4.926626301388128,0.3156257279408674,0.08330640040259431,0.5077569560221094,2.392908143738336,0.02189720838229557,-4.926626301388128
7.16,-4.962753464936774,0.3157615569060991,0.08362835249503583,0.5075387758849931,2.388797920436658,0.02216160062533166,-4.962753464936774
7.17,-4.998888139652383,0.3158957377041766,0.08395139288715447,0.5073220292771787,2.384719948111317,0.02242893904636177,-4.998888139652383
7.18,-5.035030660186709,0.316028270546678,0.0842755253836328,0.5071067149577544,2.380674095310101,0.02269925410078262,-5.035030660186709
